tune_name	health_score	key_status	key_ok	time_ok	ashokan_tell	avg_grade	measure_count	omr_path
Jefferson and Liberty	18.33	missed	False	False	True	0.9165	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Jefferson and Liberty/clean.omr
Jerusalem's Ridge	38.55	missed	False	True	True	0.9274	33	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Jerusalem's Ridge/clean.omr
Bull Moose	46.79	missed	False	False	False	0.8393	2	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Bull Moose/clean.omr
Sweet Journeys	47.22	missed	False	False	False	0.861	28	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sweet Journeys/clean.omr
Under the Double Eagle	47.68	missed	False	False	False	0.8841	41	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Under the Double Eagle/clean.omr
Drunken Cat	47.71	missed	False	False	False	0.8854	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Drunken Cat/clean.omr
Centralia Waltz	47.79	missed	False	False	False	0.8897	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Centralia Waltz/clean.omr
Puncheon Floor, The	48.07	missed	False	False	False	0.9034	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Puncheon Floor, The/clean.omr
New Five Cent Piece	48.13	missed	False	False	False	0.9066	15	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/New Five Cent Piece/clean.omr
Flop Eared Mule	48.24	missed	False	False	False	0.9118	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Flop Eared Mule/clean.omr
Big Scioty	48.27	missed	False	False	False	0.9134	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Big Scioty/clean.omr
Spotted Dog	48.37	missed	False	False	False	0.9183	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Spotted Dog/clean.omr
Nancy's Waltz	58.47	present	True	False	True	0.9236	33	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Nancy's Waltz/clean.omr
Moon and Seven Stars, The	68.01	missed	False	True	False	0.9003	20	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Moon and Seven Stars, The/clean.omr
Needle Case	68.27	missed	False	True	False	0.9133	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Needle Case/clean.omr
Ashokan Farewell	77.55	present	True	True	True	0.8776	27	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Ashokan Farewell/clean.omr
Colored Aristocracy	77.81	present	True	True	True	0.8906	32	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Colored Aristocracy/clean.omr
Sally Put a Bug on Me	78.05	present	True	True	True	0.9026	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sally Put a Bug on Me/clean.omr
South	78.05	present	True	True	True	0.9024	33	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/South/clean.omr
Walking in My Sleep	78.12	present	True	True	True	0.9058	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Walking in My Sleep/clean.omr
Pig Ankle Rag	78.21	present	True	True	True	0.9105	26	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Pig Ankle Rag/clean.omr
Maple Sugar	78.44	present	True	True	True	0.922	36	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Maple Sugar/clean.omr
Cherokee Shuffle	78.48	present	True	True	True	0.9242	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Cherokee Shuffle/clean.omr
Miss McCloud's Reel	87.16	absent	False	False	False	0.8582	15	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Miss McCloud's Reel/clean.omr
My Cape Breton Home	87.24	present	True	False	False	0.8619	33	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/My Cape Breton Home/clean.omr
Morrison's Jig	87.29	absent	False	False	False	0.8644	8	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Morrison's Jig/clean.omr
Tombigbee Waltz	87.56	present	True	False	False	0.8782	33	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Tombigbee Waltz/clean.omr
Fly Around My Pretty Little Miss	87.73	present	True	False	False	0.8866	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Fly Around My Pretty Little Miss/clean.omr
Gypsy Waltz	87.73	present	True	False	False	0.8863	26	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Gypsy Waltz/clean.omr
Round the Horn	87.8	present	True	False	False	0.8898	19	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Round the Horn/clean.omr
Boys of Blue Hill, The	87.81	present	True	False	False	0.8904	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Boys of Blue Hill, The/clean.omr
All the Way to Galway	87.82	present	True	False	False	0.8909	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/All the Way to Galway/clean.omr
Pink Eye Lament	87.86	present	True	False	False	0.8929	40	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Pink Eye Lament/clean.omr
Sally Ann Johnson	88.08	present	True	False	False	0.904	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sally Ann Johnson/clean.omr
Mairi's Wedding	88.12	present	True	False	False	0.9061	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Mairi's Wedding/clean.omr
Rock the Cradle, Joe	88.22	present	True	False	False	0.9111	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Rock the Cradle, Joe/clean.omr
Johnny, Johnny, Don't Get Drunk	88.31	present	True	False	False	0.9153	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Johnny, Johnny, Don't Get Drunk/clean.omr
Sandy River Belles	88.39	present	True	False	False	0.9196	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sandy River Belles/clean.omr
Possum Up a Gum Stump	88.42	present	True	False	False	0.921	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Possum Up a Gum Stump/clean.omr
Old Mother Flanagan	88.43	present	True	False	False	0.9217	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Old Mother Flanagan/clean.omr
Sarah Armstrong	88.43	present	True	False	False	0.9214	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sarah Armstrong/clean.omr
Red Haired Boy	88.44	present	True	False	False	0.9218	9	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Red Haired Boy/clean.omr
My Darling Asleep	88.48	absent	False	False	False	0.9238	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/My Darling Asleep/clean.omr
Meeting of the Waters	88.5	present	True	False	False	0.925	33	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Meeting of the Waters/clean.omr
Smash the Windows	88.53	present	True	False	False	0.9264	24	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Smash the Windows/clean.omr
Gaspe Reel	88.58	present	True	False	False	0.9289	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Gaspe Reel/clean.omr
Mouth of the Tobique	88.58	present	True	False	False	0.929	27	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Mouth of the Tobique/clean.omr
Mason's Apron	88.66	present	True	False	False	0.9332	17	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Mason's Apron/clean.omr
Rose Tree	88.72	present	True	False	False	0.936	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Rose Tree/clean.omr
Batchelder's Reel	88.76	present	True	False	False	0.9379	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Batchelder's Reel/clean.omr
Morpeth Rant	88.76	present	True	False	False	0.938	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Morpeth Rant/clean.omr
Ships are Sailing	88.81	present	True	False	False	0.9406	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Ships are Sailing/clean.omr
Petronella	88.85	present	True	False	False	0.9424	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Petronella/clean.omr
Woodchopper's Reel	88.9	present	True	False	False	0.945	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Woodchopper's Reel/clean.omr
Temperance Reel	88.94	present	True	False	False	0.9472	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Temperance Reel/clean.omr
Logger - Pays de Haut, The	88.95	present	True	False	False	0.9476	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Logger - Pays de Haut, The/clean.omr
Devil's Dream	89.03	present	True	False	False	0.9515	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Devil's Dream/clean.omr
Pat(T)'s Country	106.78	absent	False	True	False	0.839	5	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Pat(T)'s Country/clean.omr
Star of the County Down (in 4-4)	107.14	absent	False	True	False	0.8568	16	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Star of the County Down (in 4-4)/clean.omr
Amelia	107.3	present	True	True	False	0.8649	35	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Amelia/clean.omr
Girl I Left Behind Me, The	107.35	present	True	True	False	0.8675	24	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Girl I Left Behind Me, The/clean.omr
Cindy	107.42	present	True	True	False	0.871	13	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Cindy/clean.omr
Golden Slippers	107.53	present	True	True	False	0.8763	32	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Golden Slippers/clean.omr
Chicken Under the Washtub	107.55	present	True	True	False	0.8775	18	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Chicken Under the Washtub/clean.omr
Five Steps Down	107.6	absent	False	True	False	0.88	34	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Five Steps Down/clean.omr
Sacramento Rag	107.63	present	True	True	False	0.8814	27	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Sacramento Rag/clean.omr
Calliope House	107.66	present	True	True	False	0.8832	21	/home/porter/Documents/banjo/WOFTA/tune_images/notation_pipeline/batch_output/Calliope House/clean.omr
